Frequency [Hz], Amplitude [dB], Phase [deg]
10, -0.069618, -0.069497
10.59560179277616, -0.069698, -0.07281
11.226677735108137, -0.070343, -0.075328
11.895340673703195, -0.069901, -0.082136
12.603829296797274, -0.069899, -0.087665
13.354515629298987, -0.069725, -0.099154
14.149912974345758, -0.069749, -0.108252
14.992684327860456, -0.069638, -0.112001
15.885651294280526, -0.069653, -0.113381
16.831803533309568, -0.06926, -0.129084
17.834308769319094, -0.069321, -0.132301
18.896523396912098, -0.069362, -0.140538
20.022003718155844, -0.069443, -0.153256
21.2145178491063, -0.071357, -0.165844
22.47805833548725, -0.069573, -0.174163
23.81685551976158, -0.069141, -0.18796
25.23539170434766, -0.06929, -0.198957
26.738416158399467, -0.069394, -0.211982
28.330961018393243, -0.069718, -0.222855
30.01835813575589, -0.069554, -0.239159
31.80625692794119, -0.069634, -0.25338
33.700643292719285, -0.069476, -0.269096
35.707859649004625, -0.069959, -0.287578
37.83462617131929, -0.070138, -0.304708
40.08806328898464, -0.071536, -0.312427
42.47571552536898, -0.07072, -0.343121
45.005576757004974, -0.071198, -0.363899
47.68611697714469, -0.071481, -0.384854
50.526310653356795, -0.071687, -0.405986
53.53566677410724, -0.071575, -0.415808
56.72426068491978, -0.072503, -0.452022
60.10276782070382, -0.071547, -0.466188
63.68249944718586, -0.073207, -0.502033
67.47544053110693, -0.071509, -0.524695
71.49428986597577, -0.0736, -0.557712
75.75250258771912, -0.073571, -0.585955
80.26433522257175, -0.073607, -0.618474
85.04489341802677, -0.071675, -0.660015
90.11018251665018, -0.072711, -0.686666
95.47716114208056, -0.071641, -0.739897
101.1637979766207, -0.071157, -0.770333
107.18913192051286, -0.070559, -0.819698
113.57333583431051, -0.071696, -0.880903
120.33778407775905, -0.069684, -0.931406
127.50512407130128, -0.070053, -0.992228
135.09935211980277, -0.071873, -1.046426
143.14589375234786, -0.071813, -1.10843
151.6716888470924, -0.072454, -1.186568
160.70528182616385, -0.071614, -1.243695
170.27691722259013, -0.07388, -1.32033
180.41864093920717, -0.071835, -1.397252
191.16440753857037, -0.072027, -1.47882
202.55019392306664, -0.071857, -1.566869
214.6141197858406, -0.070046, -1.658117
227.39657523579274, -0.070335, -1.766103
240.9403560239527, -0.072184, -1.864054
255.29080682395167, -0.071946, -1.974785
270.4959730463137, -0.073959, -2.092367
286.606761694825, -0.072699, -2.212684
303.67711180354604, -0.072283, -2.348895
321.76417502507354, -0.072675, -2.488955
340.92850697468145, -0.072611, -2.635538
361.23426997094305, -0.072345, -2.793718
382.7494478516315, -0.072523, -2.969135
405.54607358408276, -0.072783, -3.135556
429.7004704320844, -0.073634, -3.321002
455.29350748669475, -0.072922, -3.517547
482.41087041653736, -0.073477, -3.726633
511.14334834401654, -0.073561, -3.952938
541.5871378079476, -0.073799, -4.178819
573.8441648302393, -0.074913, -4.433414
608.0224261649427, -0.073751, -4.697668
644.236350872137, -0.074168, -4.970192
682.6071834272393, -0.075078, -5.267812
723.2633896483534, -0.075895, -5.583844
766.3410868007462, -0.076067, -5.921139
811.9844993184009, -0.077773, -6.26844
860.3464416684509, -0.0745, -6.645514
911.5888299750818, -0.078742, -7.03517
965.8832241158708, -0.076116, -7.46347
1023.4114021054538, -0.078223, -7.894592
1084.3659686896108, -0.077935, -8.359793
1148.9510001873098, -0.076265, -8.86659
1217.382727739662, -0.08194, -9.378793
1289.8902612533093, -0.080808, -9.956169
1366.7163564620073, -0.081, -10.543005
1448.1182276745344, -0.081772, -11.175637
1534.3684089300132, -0.081919, -11.828139
1625.755666443795, -0.084027, -12.527536
1722.5859653987875, -0.084954, -13.283393
1825.1834943190443, -0.085828, -14.061843
1933.891750455232, -0.08788, -14.915801
2049.074689815848, -0.092361, -15.794231
2171.117945694505, -0.088113, -16.727629
2300.430119772919, -0.096549, -17.730433
2437.444150122222, -0.096736, -18.804823
2582.6187606826775, -0.102482, -19.919952
2736.4399970746717, -0.104408, -21.088848
2899.4228538828784, -0.107214, -22.345091
3072.112998861759, -0.110759, -23.719902
3255.08859983506, -0.112072, -25.124355
3448.96226040576, -0.113664, -26.618542
3654.383070957258, -0.122093, -28.231647
3872.0387818125573, -0.132861, -29.894222
4102.658105827195, -0.135582, -31.749123
4347.013158125026, -0.138724, -33.650192
4605.922041145108, -0.154774, -35.667564
4880.2515836544335, -0.15666, -37.841377
5170.920242896761, -0.166009, -40.129356
5478.901179593945, -0.182067, -42.592033
5805.225516094902, -0.190544, -45.237068
6150.985788580504, -0.204433, -47.9627
6517.339604882427, -0.222303, -50.973362
6905.513520162331, -0.242388, -54.166924
7316.8071434272, -0.265174, -57.530319
7752.597488629464, -0.294508, -61.208759
8214.34358491943, -0.317994, -65.145287
8703.591361485165, -0.372705, -69.307777
9221.978823334332, -0.433016, -73.945091
9771.241535346502, -0.51228, -78.869919
10353.218432956615, -0.616339, -84.209251
10969.857978923841, -0.739502, -89.922493
11623.224686798541, -0.912225, -96.12001
12315.506032928262, -1.140465, -102.851089
13049.019780144015, -1.447367, -109.978859
13826.221737646563, -1.816733, -117.595436
14649.71398307288, -2.298851, -125.664856
15522.25357427048, -2.90829, -133.964096
16446.761779946628, -3.632272, -142.420593
17426.333860096507, -4.488323, -150.853668
18464.249428955463, -5.46498, -159.170425
19563.98343517065, -6.55855, -167.19664
20729.2177959537, -7.746872, -174.848511
21963.85372416547, -9.013257, 177.9431
23272.024789604122, -10.344534, 171.183411
24658.110758226037, -11.723252, 164.87706
26126.752255633266, -13.139767, 159.027847
27682.866303920666, -14.582445, 153.554886
29331.662783900483, -16.038141, 148.411835
31078.66187782014, -17.507454, 143.612915
32929.71255097148, -18.988155, 139.068222
34891.012134067736, -20.47583, 134.807419
36969.12707195032, -21.952019, 130.711868
39171.014908092606, -23.450104, 126.803558
41504.047578504724, -24.941219, 123.074738
43976.036093027215, -26.425207, 119.447929
46595.25668664687, -27.903816, 115.854012
49370.478528390035, -29.390059, 112.327545
52310.993080562585, -30.885956, 108.806404
55426.645206631074, -32.360409, 105.271561
58727.86613189489, -33.822712, 101.805679
62225.708367302315, -35.242264, 98.313919
65931.88271333542, -36.656616, 94.547348
69858.79746785249, -38.044861, 90.699409
74019.59996915652, -39.378876, 86.818565
78428.22061337682, -40.733368, 82.785431
83099.41949353387, -42.02599, 78.811165
88048.83581643464, -43.347645, 74.398071
93293.04026284696, -44.463699, 69.426376
98849.59046625586, -45.668114, 64.654724
104737.08979594508, -46.884392, 59.455132
110975.2496412072, -47.800404, 53.990734
117584.95540521582, -48.72155, 48.61882
124588.33642950082, -49.745102, 43.475723
132008.84008314196, -50.638603, 37.916473
139871.31026472387, -51.505627, 31.976274
148202.070579886, -52.088085, 25.326239
157029.01247293776, -52.488487, 19.887024
166381.6886076131, -52.928467, 13.743556
176291.4118095948, -53.307453, 6.408616
186791.35990207846, -53.661278, -7.02041
197916.68678535573, -57.598606, -34.577713
209704.6401323235, -77.258667, -94.093689
222194.6860939524, -61.767979, 91.719406
235428.64143224203, -56.106686, 70.623291
249450.81352303165, -54.64093, 54.212666
264308.1486974108, -54.357342, 42.570801
280050.3894183631, -54.221668, 33.796539
296730.24081888725, -54.053902, 28.625011
314403.54715915, -54.191582, 24.136482
333129.4787934677, -54.244324, 19.559853
352970.73027306504, -54.281761, 16.852997
373993.73024788016, -54.494179, 14.448732
396268.86387014785, -54.647034, 14.365985
