Frequency [Hz], Amplitude [dB], Phase [deg]
10, -0.083317, -0.73512
10.59560179277616, -0.083105, -0.776951
11.226677735108137, -0.082221, -0.817842
11.895340673703195, -0.082908, -0.868838
12.603829296797274, -0.082729, -0.918012
13.354515629298987, -0.084266, -0.975003
14.149912974345758, -0.084747, -1.03071
14.992684327860456, -0.084251, -1.091492
15.885651294280526, -0.082765, -1.15159
16.831803533309568, -0.08427, -1.220746
17.834308769319094, -0.083472, -1.292859
18.896523396912098, -0.083361, -1.368189
20.022003718155844, -0.084366, -1.448888
21.2145178491063, -0.084113, -1.533876
22.47805833548725, -0.084628, -1.623386
23.81685551976158, -0.084324, -1.716092
25.23539170434766, -0.084605, -1.817042
26.738416158399467, -0.084587, -1.923969
28.330961018393243, -0.085138, -2.040198
30.01835813575589, -0.084592, -2.157329
31.80625692794119, -0.08492, -2.285648
33.700643292719285, -0.085123, -2.420366
35.707859649004625, -0.084406, -2.561772
37.83462617131929, -0.084454, -2.710998
40.08806328898464, -0.083464, -2.879567
42.47571552536898, -0.08357, -3.042508
45.005576757004974, -0.082966, -3.227128
47.68611697714469, -0.082848, -3.41892
50.526310653356795, -0.082474, -3.615165
53.53566677410724, -0.082669, -3.846967
56.72426068491978, -0.081351, -4.057255
60.10276782070382, -0.081958, -4.313237
63.68249944718586, -0.080422, -4.566624
67.47544053110693, -0.08262, -4.849741
71.49428986597577, -0.080316, -5.135469
75.75250258771912, -0.080092, -5.445744
80.26433522257175, -0.080605, -5.770349
85.04489341802677, -0.080174, -6.118842
90.11018251665018, -0.080614, -6.478684
95.47716114208056, -0.081081, -6.848188
101.1637979766207, -0.080432, -7.271336
107.18913192051286, -0.080306, -7.705376
113.57333583431051, -0.08037, -8.164446
120.33778407775905, -0.080235, -8.644049
127.50512407130128, -0.077675, -9.15565
135.09935211980277, -0.078367, -9.696218
143.14589375234786, -0.075869, -10.27561
151.6716888470924, -0.073587, -10.875028
160.70528182616385, -0.071125, -11.537733
170.27691722259013, -0.069614, -12.240417
180.41864093920717, -0.070313, -12.965813
191.16440753857037, -0.069121, -13.730861
202.55019392306664, -0.064693, -14.556776
