Frequency [Hz], Amplitude [dB], Phase [deg]
10, -0.084258, -7.24082
10.59560179277616, -0.082691, -7.657885
11.226677735108137, -0.079997, -8.046501
11.895340673703195, -0.080549, -8.577462
12.603829296797274, -0.079509, -9.079042
13.354515629298987, -0.085863, -9.681681
14.149912974345758, -0.087315, -10.261553
14.992684327860456, -0.084408, -10.865031
15.885651294280526, -0.07607, -11.443978
16.831803533309568, -0.085579, -12.203451
17.834308769319094, -0.078914, -12.902737
18.896523396912098, -0.077062, -13.668656
20.022003718155844, -0.081609, -14.513633
21.2145178491063, -0.079035, -15.373632
22.47805833548725, -0.081494, -16.305786
23.81685551976158, -0.0823, -17.28923
25.23539170434766, -0.082324, -18.327782
26.738416158399467, -0.082479, -19.431664
28.330961018393243, -0.082375, -20.601339
30.01835813575589, -0.08234, -21.843662
31.80625692794119, -0.082994, -23.167332
33.700643292719285, -0.084017, -24.565151
35.707859649004625, -0.080872, -26.064562
37.83462617131929, -0.082695, -27.633736
40.08806328898464, -0.086868, -29.294668
42.47571552536898, -0.080332, -31.12606
45.005576757004974, -0.077427, -33.077198
47.68611697714469, -0.078124, -35.116585
50.526310653356795, -0.080872, -37.230667
53.53566677410724, -0.079226, -39.578968
56.72426068491978, -0.078864, -42.000599
60.10276782070382, -0.077485, -44.676041
63.68249944718586, -0.079614, -47.581352
67.47544053110693, -0.087177, -50.710625
71.49428986597577, -0.086586, -53.976883
75.75250258771912, -0.099721, -57.576069
80.26433522257175, -0.110643, -61.399235
85.04489341802677, -0.135088, -65.588791
90.11018251665018, -0.167697, -70.054001
95.47716114208056, -0.214324, -74.907043
101.1637979766207, -0.279042, -80.206566
107.18913192051286, -0.384603, -85.976433
113.57333583431051, -0.549882, -92.222801
120.33778407775905, -0.776841, -98.913445
127.50512407130128, -1.072973, -106.031967
135.09935211980277, -1.470038, -113.631798
143.14589375234786, -1.987328, -121.621384
151.6716888470924, -2.614113, -129.734985
160.70528182616385, -3.363714, -137.872604
170.27691722259013, -4.251368, -146.119324
180.41864093920717, -5.254693, -154.055542
191.16440753857037, -6.363633, -161.635849
202.55019392306664, -7.568624, -168.807938
214.6141197858406, -8.846695, -175.535782
227.39657523579274, -10.170049, 178.270111
240.9403560239527, -11.555481, 172.472778
255.29080682395167, -12.963868, 167.15155
270.4959730463137, -14.404629, 162.207916
286.606761694825, -15.855874, 157.680756
