frequency;V(Vout) (phase);V(Vout) (gain);
10;178.133;39.9957;
10.2329;178.089;39.9955;
10.4713;178.045;39.9953;
10.7152;177.999;39.995;
10.9648;177.953;39.9948;
11.2202;177.905;39.9946;
11.4815;177.856;39.9943;
11.749;177.806;39.9941;
12.0226;177.755;39.9938;
12.3027;177.703;39.9935;
12.5893;177.65;39.9932;
12.8825;177.595;39.9929;
13.1826;177.539;39.9926;
13.4896;177.482;39.9923;
13.8038;177.423;39.9919;
14.1254;177.363;39.9915;
14.4544;177.302;39.9911;
14.7911;177.239;39.9907;
15.1356;177.175;39.9903;
15.4882;177.109;39.9898;
15.8489;177.042;39.9894;
16.2181;176.973;39.9889;
16.5959;176.903;39.9884;
16.9824;176.831;39.9878;
17.378;176.757;39.9873;
17.7828;176.681;39.9867;
18.197;176.604;39.986;
18.6209;176.525;39.9854;
19.0546;176.445;39.9847;
19.4984;176.362;39.984;
19.9526;176.277;39.9833;
20.4174;176.191;39.9825;
20.893;176.103;39.9817;
21.3796;176.012;39.9808;
21.8776;175.919;39.9799;
22.3872;175.825;39.979;
22.9087;175.728;39.978;
23.4423;175.628;39.977;
23.9883;175.527;39.9759;
24.5471;175.423;39.9748;
25.1189;175.317;39.9736;
25.704;175.208;39.9724;
26.3027;175.097;39.9711;
26.9153;174.983;39.9697;
27.5423;174.867;39.9683;
28.1838;174.748;39.9668;
28.8403;174.626;39.9653;
29.5121;174.502;39.9637;
30.1995;174.374;39.962;
30.903;174.244;39.9602;
31.6228;174.111;39.9583;
32.3594;173.975;39.9564;
33.1131;173.835;39.9543;
33.8844;173.693;39.9522;
34.6737;173.547;39.95;
35.4813;173.397;39.9476;
36.3078;173.245;39.9452;
37.1535;173.089;39.9426;
38.0189;172.929;39.94;
38.9045;172.766;39.9372;
39.8107;172.599;39.9342;
40.738;172.428;39.9312;
41.6869;172.254;39.9279;
42.658;172.075;39.9246;
43.6516;171.893;39.9211;
44.6684;171.706;39.9174;
45.7088;171.515;39.9136;
46.7735;171.32;39.9095;
47.863;171.121;39.9053;
48.9779;170.917;39.9009;
50.1187;170.708;39.8963;
51.2861;170.495;39.8915;
52.4807;170.278;39.8864;
53.7032;170.055;39.8812;
54.9541;169.827;39.8757;
56.2341;169.595;39.8699;
57.544;169.357;39.8639;
58.8844;169.114;39.8576;
60.256;168.866;39.851;
61.6595;168.612;39.8441;
63.0957;168.353;39.8369;
64.5654;168.088;39.8293;
66.0693;167.818;39.8215;
67.6083;167.542;39.8132;
69.1831;167.26;39.8046;
70.7946;166.971;39.7956;
72.4436;166.677;39.7863;
74.131;166.376;39.7764;
75.8578;166.07;39.7662;
77.6247;165.756;39.7555;
79.4328;165.436;39.7443;
81.2831;165.11;39.7326;
83.1764;164.777;39.7204;
85.1138;164.437;39.7077;
87.0964;164.09;39.6944;
89.1251;163.736;39.6805;
91.2011;163.374;39.666;
93.3254;163.006;39.6509;
95.4993;162.63;39.6351;
97.7237;162.247;39.6187;
100;161.856;39.6015;
102.329;161.458;39.5836;
104.713;161.052;39.5649;
107.152;160.639;39.5454;
109.648;160.217;39.5251;
112.202;159.788;39.504;
114.815;159.351;39.482;
117.49;158.905;39.459;
120.226;158.452;39.4351;
123.027;157.99;39.4102;
125.893;157.521;39.3843;
128.825;157.043;39.3573;
131.826;156.557;39.3292;
134.896;156.063;39.3;
138.038;155.56;39.2697;
141.254;155.049;39.2381;
144.544;154.53;39.2053;
147.911;154.003;39.1712;
151.356;153.467;39.1357;
154.882;152.923;39.0989;
158.489;152.371;39.0607;
162.181;151.811;39.0211;
165.959;151.242;38.9799;
169.824;150.666;38.9373;
173.78;150.082;38.8931;
177.828;149.49;38.8472;
181.97;148.89;38.7997;
186.209;148.282;38.7505;
190.546;147.667;38.6996;
194.984;147.045;38.6469;
199.526;146.415;38.5924;
204.174;145.778;38.5361;
208.93;145.134;38.4778;
213.796;144.484;38.4177;
218.776;143.827;38.3556;
223.872;143.164;38.2914;
229.087;142.494;38.2253;
234.423;141.819;38.1571;
239.883;141.138;38.0868;
245.471;140.452;38.0143;
251.189;139.76;37.9397;
257.04;139.064;37.863;
263.027;138.363;37.784;
269.153;137.657;37.7028;
275.423;136.948;37.6194;
281.838;136.235;37.5337;
288.403;135.518;37.4457;
295.121;134.798;37.3554;
301.995;134.076;37.2628;
309.03;133.351;37.168;
316.228;132.623;37.0707;
323.594;131.894;36.9712;
331.131;131.163;36.8693;
338.844;130.431;36.7651;
346.737;129.698;36.6586;
354.813;128.964;36.5498;
363.078;128.23;36.4386;
371.535;127.496;36.3252;
380.189;126.762;36.2094;
389.045;126.028;36.0914;
398.107;125.296;35.9711;
407.38;124.564;35.8485;
416.869;123.834;35.7238;
426.58;123.106;35.5968;
436.516;122.379;35.4677;
446.684;121.654;35.3364;
457.088;120.932;35.203;
467.735;120.212;35.0674;
478.63;119.495;34.9299;
489.779;118.781;34.7902;
501.187;118.069;34.6486;
512.861;117.362;34.505;
524.807;116.657;34.3595;
537.032;115.956;34.212;
549.541;115.259;34.0627;
562.341;114.565;33.9116;
575.44;113.875;33.7586;
588.844;113.19;33.6039;
602.56;112.508;33.4475;
616.595;111.83;33.2894;
630.957;111.156;33.1297;
645.654;110.487;32.9683;
660.693;109.821;32.8053;
676.083;109.16;32.6409;
691.831;108.503;32.4749;
707.946;107.85;32.3074;
724.436;107.201;32.1385;
741.31;106.556;31.9682;
758.578;105.916;31.7965;
776.247;105.279;31.6235;
794.328;104.646;31.4492;
812.831;104.017;31.2736;
831.764;103.391;31.0968;
851.138;102.769;30.9188;
870.964;102.151;30.7396;
891.251;101.536;30.5592;
912.011;100.924;30.3776;
933.254;100.316;30.195;
954.993;99.7101;30.0113;
977.237;99.1074;29.8265;
1000;98.5074;29.6407;
1023.29;97.9099;29.4538;
1047.13;97.3149;29.2659;
1071.52;96.7222;29.0771;
1096.48;96.1315;28.8873;
1122.02;95.5427;28.6965;
1148.15;94.9557;28.5048;
1174.9;94.3702;28.3121;
1202.26;93.7861;28.1185;
1230.27;93.2032;27.924;
1258.93;92.6213;27.7286;
1288.25;92.0403;27.5323;
1318.26;91.4599;27.3352;
1348.96;90.88;27.1371;
1380.38;90.3003;26.9381;
1412.54;89.7207;26.7383;
1445.44;89.141;26.5376;
1479.11;88.561;26.336;
1513.56;87.9806;26.1335;
1548.82;87.3994;25.9301;
1584.89;86.8174;25.7258;
1621.81;86.2343;25.5207;
1659.59;85.6499;25.3146;
