Frequency [Hz], Amplitude [dB], Phase [deg]
10, -24.19722, -93.782913
10.59560179277616, -23.698906, -93.912819
11.226677735108137, -23.262798, -93.989082
11.895340673703195, -22.706182, -94.291092
12.603829296797274, -22.209202, -94.501602
13.354515629298987, -21.650602, -95.060944
14.149912974345758, -21.14883, -95.389931
14.992684327860456, -20.646473, -95.595932
15.885651294280526, -20.17704, -95.618263
16.831803533309568, -19.62315, -96.312111
17.834308769319094, -19.129873, -96.466515
18.896523396912098, -18.628428, -96.806839
20.022003718155844, -18.10944, -97.357506
21.2145178491063, -17.601585, -97.735077
22.47805833548725, -17.086771, -98.262886
23.81685551976158, -16.570175, -98.808037
25.23539170434766, -16.05685, -99.333908
26.738416158399467, -15.540594, -99.895164
28.330961018393243, -15.025928, -100.485573
30.01835813575589, -14.507522, -101.149292
31.80625692794119, -13.988277, -101.870323
33.700643292719285, -13.466777, -102.630013
35.707859649004625, -12.935661, -103.353821
37.83462617131929, -12.414724, -104.220421
40.08806328898464, -11.892965, -105.16713
42.47571552536898, -11.347976, -106.08139
45.005576757004974, -10.801222, -107.117325
47.68611697714469, -10.261642, -108.253151
50.526310653356795, -9.733195, -109.46347
53.53566677410724, -9.177013, -110.772301
56.72426068491978, -8.636204, -112.153305
60.10276782070382, -8.074092, -113.687286
63.68249944718586, -7.501072, -115.400108
67.47544053110693, -6.924492, -117.304665
71.49428986597577, -6.3555, -119.252556
75.75250258771912, -5.773137, -121.522903
80.26433522257175, -5.196665, -123.925331
85.04489341802677, -4.61095, -126.66922
90.11018251665018, -4.035827, -129.626343
95.47716114208056, -3.463984, -132.922531
101.1637979766207, -2.896678, -136.553696
107.18913192051286, -2.345624, -140.598877
113.57333583431051, -1.820713, -145.070541
120.33778407775905, -1.339144, -149.974945
127.50512407130128, -0.913229, -155.278534
135.09935211980277, -0.555812, -161.052338
143.14589375234786, -0.296346, -167.272171
151.6716888470924, -0.169926, -173.659592
160.70528182616385, -0.130728, 179.83905
170.27691722259013, -0.173293, 173.222992
180.41864093920717, -0.308955, 166.837555
191.16440753857037, -0.578437, 160.74939
202.55019392306664, -0.939934, 154.988617
214.6141197858406, -1.371386, 149.631546
227.39657523579274, -1.85543, 144.758041
240.9403560239527, -2.384555, 140.34549
