Frequency [Hz], Amplitude [dB], Phase [deg]
10, -0.099431, 176.393402
10.59560179277616, -0.100121, 176.185516
11.226677735108137, -0.099971, 175.992828
11.895340673703195, -0.102389, 175.72554
12.603829296797274, -0.103961, 175.474823
13.354515629298987, -0.110109, 175.170883
14.149912974345758, -0.113704, 174.880142
14.992684327860456, -0.115364, 174.577637
15.885651294280526, -0.11401, 174.287491
16.831803533309568, -0.123324, 173.904694
17.834308769319094, -0.124638, 173.5522
18.896523396912098, -0.128934, 173.165207
20.022003718155844, -0.137599, 172.736343
21.2145178491063, -0.143174, 172.299728
22.47805833548725, -0.15236, 171.824463
23.81685551976158, -0.16111, 171.322601
25.23539170434766, -0.171601, 170.788574
26.738416158399467, -0.183159, 170.22142
28.330961018393243, -0.197024, 169.616867
30.01835813575589, -0.211791, 168.971909
31.80625692794119, -0.229964, 168.281189
33.700643292719285, -0.250907, 167.548157
35.707859649004625, -0.272246, 166.752304
37.83462617131929, -0.30078, 165.918945
40.08806328898464, -0.335595, 165.028687
42.47571552536898, -0.371028, 164.03595
45.005576757004974, -0.415423, 162.969894
47.68611697714469, -0.467709, 161.846436
50.526310653356795, -0.530856, 160.669266
53.53566677410724, -0.605294, 159.3423
56.72426068491978, -0.689246, 157.955399
60.10276782070382, -0.789466, 156.401855
63.68249944718586, -0.910355, 154.692093
67.47544053110693, -1.055908, 152.825256
71.49428986597577, -1.217985, 150.827301
75.75250258771912, -1.423205, 148.609802
80.26433522257175, -1.660277, 146.187851
85.04489341802677, -1.95954, 143.491043
90.11018251665018, -2.317554, 140.564865
95.47716114208056, -2.761125, 137.313431
101.1637979766207, -3.315564, 133.681198
107.18913192051286, -4.02001, 129.653519
113.57333583431051, -4.925903, 125.19976
120.33778407775905, -6.10751, 120.345764
127.50512407130128, -7.677551, 115.096794
135.09935211980277, -9.890245, 109.472702
143.14589375234786, -13.277693, 103.630219
151.6716888470924, -19.307987, 98.244141
160.70528182616385, -45.498661, -139.283661
170.27691722259013, -18.621819, -98.871651
180.41864093920717, -12.936076, -104.300034
191.16440753857037, -9.724378, -110.080345
202.55019392306664, -7.560777, -115.619339
214.6141197858406, -6.001446, -120.847694
227.39657523579274, -4.8467, -125.655411
240.9403560239527, -3.965357, -130.066788
255.29080682395167, -3.278532, -133.987976
270.4959730463137, -2.725481, -137.613983
286.606761694825, -2.29053, -140.883896
303.67711180354604, -1.9388, -143.794449
321.76417502507354, -1.645328, -146.436981
340.92850697468145, -1.411501, -148.869659
361.23426997094305, -1.214261, -151.025223
382.7494478516315, -1.046325, -153.053497
405.54607358408276, -0.909219, -154.857834
429.7004704320844, -0.788073, -156.555023
455.29350748669475, -0.691763, -158.076736
482.41087041653736, -0.603054, -159.499588
511.14334834401654, -0.529879, -160.787979
541.5871378079476, -0.467198, -162.024994
573.8441648302393, -0.410767, -163.133026
608.0224261649427, -0.369336, -164.162888
644.236350872137, -0.332989, -165.151566
682.6071834272393, -0.297852, -166.06105
723.2633896483534, -0.269483, -166.89476
766.3410868007462, -0.245579, -167.676712
811.9844993184009, -0.226908, -168.412659
860.3464416684509, -0.209724, -169.103699
911.5888299750818, -0.194778, -169.754837
965.8832241158708, -0.180837, -170.366821
1023.4114021054538, -0.170085, -170.943359
1084.3659686896108, -0.161247, -171.480896
1148.9510001873098, -0.152551, -171.971725
1217.382727739662, -0.143994, -172.460358
1289.8902612533093, -0.138718, -172.901352
1366.7163564620073, -0.132009, -173.326141
1448.1182276745344, -0.127806, -173.715683
1534.3684089300132, -0.123603, -174.095428
1625.755666443795, -0.119686, -174.451416
1722.5859653987875, -0.116708, -174.783218
1825.1834943190443, -0.113844, -175.101654
1933.891750455232, -0.110403, -175.396088
2049.074689815848, -0.107634, -175.684143
2171.117945694505, -0.106578, -175.948318
2300.430119772919, -0.103948, -176.208633
2437.444150122222, -0.102416, -176.443909
2582.6187606826775, -0.10086, -176.673447
2736.4399970746717, -0.100446, -176.895187
2899.4228538828784, -0.099088, -177.103317
3072.112998861759, -0.097883, -177.295319
3255.08859983506, -0.097385, -177.483688
3448.96226040576, -0.0971, -177.665604
3654.383070957258, -0.096647, -177.835495
3872.0387818125573, -0.096109, -178.004135
4102.658105827195, -0.096309, -178.156387
4347.013158125026, -0.096357, -178.307358
4605.922041145108, -0.096338, -178.456039
4880.2515836544335, -0.096544, -178.59375
5170.920242896761, -0.096984, -178.727142
5478.901179593945, -0.097111, -178.857849
5805.225516094902, -0.097382, -178.983765
6150.985788580504, -0.098034, -179.103119
6517.339604882427, -0.098288, -179.223495
6905.513520162331, -0.098476, -179.335846
7316.8071434272, -0.099223, -179.44603
7752.597488629464, -0.099619, -179.555603
8214.34358491943, -0.100672, -179.658615
8703.591361485165, -0.101543, -179.761642
9221.978823334332, -0.101702, -179.86171
9771.241535346502, -0.102799, -179.960495
10353.218432956615, -0.103158, 179.945511
10969.857978923841, -0.103447, 179.852631
11623.224686798541, -0.103741, 179.756683
12315.506032928262, -0.103401, 179.655624
13049.019780144015, -0.103656, 179.553772
13826.221737646563, -0.103566, 179.444412
14649.71398307288, -0.104668, 179.325119
15522.25357427048, -0.106293, 179.218185
16446.761779946628, -0.108555, 179.104828
17426.333860096507, -0.11064, 178.994095
18464.249428955463, -0.112396, 178.883347
19563.98343517065, -0.115861, 178.77478
20729.2177959537, -0.11764, 178.664276
21963.85372416547, -0.120182, 178.550247
23272.024789604122, -0.122063, 178.436966
24658.110758226037, -0.124206, 178.318832
26126.752255633266, -0.125814, 178.1987
27682.866303920666, -0.12839, 178.073364
29331.662783900483, -0.129849, 177.943527
31078.66187782014, -0.131179, 177.808167
32929.71255097148, -0.132929, 177.669403
34891.012134067736, -0.13384, 177.519699
36969.12707195032, -0.135437, 177.363388
39171.014908092606, -0.136742, 177.19957
41504.047578504724, -0.13848, 177.026917
43976.036093027215, -0.139422, 176.848099
46595.25668664687, -0.140006, 176.65625
49370.478528390035, -0.141413, 176.450882
52310.993080562585, -0.142725, 176.241257
55426.645206631074, -0.143898, 176.01799
58727.86613189489, -0.141942, 175.774796
