Frequency [Hz], Amplitude [dB], Phase [deg]
10, -0.068901, -3.606169
10.59560179277616, -0.066801, -3.81421
11.226677735108137, -0.063947, -4.006848
11.895340673703195, -0.062419, -4.274827
12.603829296797274, -0.059987, -4.526049
13.354515629298987, -0.060649, -4.830648
14.149912974345758, -0.058812, -5.123065
14.992684327860456, -0.054918, -5.42638
15.885651294280526, -0.047963, -5.717428
16.831803533309568, -0.048693, -6.102269
17.834308769319094, -0.042377, -6.455731
18.896523396912098, -0.037355, -6.844109
20.022003718155844, -0.034952, -7.273783
21.2145178491063, -0.028852, -7.712055
22.47805833548725, -0.024415, -8.188447
23.81685551976158, -0.017855, -8.692809
25.23539170434766, -0.011366, -9.226664
26.738416158399467, -0.003822, -9.796506
28.330961018393243, 0.004007, -10.400022
30.01835813575589, 0.013718, -11.048206
31.80625692794119, 0.023137, -11.738288
33.700643292719285, 0.033226, -12.472192
35.707859649004625, 0.048651, -13.27159
37.83462617131929, 0.061133, -14.106034
40.08806328898464, 0.072943, -14.987033
42.47571552536898, 0.093758, -15.991167
45.005576757004974, 0.113233, -17.060543
47.68611697714469, 0.13214, -18.186131
50.526310653356795, 0.15256, -19.364559
53.53566677410724, 0.176898, -20.684015
56.72426068491978, 0.20205, -22.081934
60.10276782070382, 0.230382, -23.630461
63.68249944718586, 0.256745, -25.348267
67.47544053110693, 0.28508, -27.211685
71.49428986597577, 0.316138, -29.217602
75.75250258771912, 0.345739, -31.441177
80.26433522257175, 0.376918, -33.862499
85.04489341802677, 0.40747, -36.56472
90.11018251665018, 0.434775, -39.499283
95.47716114208056, 0.460551, -42.772324
101.1637979766207, 0.485675, -46.415802
107.18913192051286, 0.503515, -50.471798
113.57333583431051, 0.509293, -54.966248
120.33778407775905, 0.498141, -59.879887
127.50512407130128, 0.468257, -65.222885
135.09935211980277, 0.399207, -70.99337
143.14589375234786, 0.295133, -77.151543
151.6716888470924, 0.12818, -83.54039
160.70528182616385, -0.137873, -89.985603
170.27691722259013, -0.651348, -96.649513
180.41864093920717, -1.338629, -103.050323
191.16440753857037, -2.124526, -109.164391
202.55019392306664, -2.997028, -114.865891
214.6141197858406, -3.929055, -120.197762
227.39657523579274, -4.904898, -125.077309
240.9403560239527, -5.94569, -129.556961
255.29080682395167, -6.996873, -133.503143
270.4959730463137, -8.063956, -137.159531
286.606761694825, -9.139857, -140.451767
303.67711180354604, -10.230648, -143.367111
321.76417502507354, -11.30043, -146.036621
