Frequency [Hz], Amplitude [dB], Phase [deg]
10, -91.312599, -7.220702
10.59560179277616, -92.151039, -3.922875
11.226677735108137, -91.746918, 8.855583
11.895340673703195, -96.278648, 0.961458
12.603829296797274, -95.698166, 9.440643
13.354515629298987, -101.24157, 34.96722
14.149912974345758, -111.706558, 69.294075
14.992684327860456, -104.152214, 146.555573
15.885651294280526, -98.712189, -166.603043
16.831803533309568, -92.041885, 165.018234
17.834308769319094, -89.902657, -178.336685
18.896523396912098, -88.144791, 178.926239
20.022003718155844, -85.82251, 178.932175
21.2145178491063, -83.2938, 178.754654
22.47805833548725, -81.396675, 178.640549
23.81685551976158, -79.541077, -179.649719
25.23539170434766, -77.376007, 179.323593
26.738416158399467, -76.079681, 179.239822
28.330961018393243, -74.695457, 179.25795
30.01835813575589, -73.095863, -179.068237
31.80625692794119, -71.736633, 179.340424
33.700643292719285, -70.346603, 179.503571
35.707859649004625, -69.055367, 179.405533
37.83462617131929, -67.783859, 178.890472
40.08806328898464, -66.657852, 179.020477
42.47571552536898, -65.413239, 178.847504
45.005576757004974, -64.369499, 179.990204
47.68611697714469, -63.013611, 179.230759
50.526310653356795, -62.108887, 179.887207
53.53566677410724, -60.719257, 179.955215
56.72426068491978, -59.580151, 178.847397
60.10276782070382, -58.353455, 179.025238
63.68249944718586, -57.277546, 178.059525
67.47544053110693, -56.132069, 178.31012
71.49428986597577, -55.056416, 178.775726
75.75250258771912, -53.892235, 178.310059
80.26433522257175, -52.760769, 178.170715
85.04489341802677, -51.723705, 178.6064
90.11018251665018, -50.47374, 178.083191
95.47716114208056, -49.353004, 178.483459
101.1637979766207, -48.172798, 178.299713
107.18913192051286, -47.083885, 178.321594
113.57333583431051, -46.086979, 178.370209
120.33778407775905, -45.087227, 178.386658
127.50512407130128, -44.07415, 178.234329
135.09935211980277, -43.070526, 178.451981
143.14589375234786, -42.050652, 178.287445
151.6716888470924, -41.064777, 178.541107
160.70528182616385, -40.016212, 178.429382
170.27691722259013, -38.961823, 178.681168
180.41864093920717, -37.901482, 178.694855
191.16440753857037, -36.919498, 178.601303
202.55019392306664, -35.875565, 178.833282
214.6141197858406, -34.849655, 178.582901
227.39657523579274, -33.802204, 178.615372
240.9403560239527, -32.770279, 178.48465
255.29080682395167, -31.737453, 178.483932
270.4959730463137, -30.683987, 178.498062
286.606761694825, -29.644022, 178.372559
303.67711180354604, -28.590328, 178.314774
321.76417502507354, -27.52523, 178.243332
340.92850697468145, -26.466005, 178.124741
361.23426997094305, -25.401447, 178.006805
382.7494478516315, -24.342299, 177.979614
405.54607358408276, -23.259237, 177.937088
429.7004704320844, -22.180643, 177.780457
455.29350748669475, -21.079746, 177.662079
482.41087041653736, -19.981386, 177.546936
511.14334834401654, -18.865414, 177.413391
541.5871378079476, -17.743189, 177.271484
573.8441648302393, -16.602726, 177.095917
