Frequency,Amplitude,Phase
10, -44.199074, -88.03553
10.59560179277616, -46.268585, -87.616943
11.226677735108137, -45.848709, -88.382568
11.895340673703195, -42.714981, -88.334259
12.603829296797274, -42.208847, -88.397018
13.354515629298987, -41.580616, -88.37645
14.149912974345758, -42.377861, -88.484283
14.992684327860456, -54.084152, -84.709755
15.885651294280526, -55.366699, -85.124809
16.831803533309568, -51.194424, -85.972931
17.834308769319094, -54.354668, -84.938484
18.896523396912098, -38.513618, -88.705826
20.022003718155844, -37.956955, -88.764183
21.2145178491063, -37.410641, -89.647377
22.47805833548725, -36.944016, -88.930603
23.81685551976158, -36.392921, -89.026978
25.23539170434766, -35.890411, -89.088264
26.738416158399467, -35.382687, -89.171349
28.330961018393243, -34.894985, -89.229515
30.01835813575589, -34.368324, -89.332054
31.80625692794119, -33.86525, -89.453918
33.700643292719285, -33.3675, -89.558105
35.707859649004625, -32.835167, -89.591949
37.83462617131929, -32.337368, -89.701736
40.08806328898464, -31.905901, -90.087479
42.47571552536898, -31.322945, -89.854507
45.005576757004974, -30.809109, -89.98317
47.68611697714469, -30.312294, -90.104897
50.526310653356795, -29.821301, -90.125671
53.53566677410724, -29.375858, -90.110291
56.72426068491978, -28.830246, -90.250366
60.10276782070382, -28.368046, -90.123711
63.68249944718586, -27.824953, -90.409645
67.47544053110693, -27.342316, -90.217552
71.49428986597577, -26.834599, -90.48893
75.75250258771912, -26.341412, -90.529327
80.26433522257175, -25.847776, -90.577034
85.04489341802677, -25.323032, -90.309715
90.11018251665018, -24.856493, -90.478027
95.47716114208056, -24.322832, -90.373184
101.1637979766207, -23.84409, -90.333557
107.18913192051286, -23.323689, -90.276825
113.57333583431051, -22.801525, -90.266571
120.33778407775905, -22.282694, -90.300377
127.50512407130128, -21.763098, -90.372993
135.09935211980277, -21.269268, -90.601669
143.14589375234786, -20.735306, -90.573189
151.6716888470924, -20.226582, -90.658073
160.70528182616385, -19.733587, -90.600266
170.27691722259013, -19.211157, -90.828445
180.41864093920717, -18.7033, -90.768898
191.16440753857037, -18.194736, -90.827782
202.55019392306664, -17.671827, -90.806183
214.6141197858406, -17.1476, -90.787331
227.39657523579274, -16.614782, -90.923195
240.9403560239527, -16.104124, -91.023888
255.29080682395167, -15.574749, -91.024529
270.4959730463137, -15.040026, -91.228096
286.606761694825, -14.521526, -91.285248
303.67711180354604, -13.979776, -91.236816
321.76417502507354, -13.424807, -91.403091
340.92850697468145, -12.883468, -91.459747
361.23426997094305, -12.320776, -91.567665
382.7494478516315, -11.773127, -91.711189
405.54607358408276, -11.197075, -91.733528
429.7004704320844, -10.623641, -91.952087
455.29350748669475, -10.038794, -91.982941
482.41087041653736, -9.444792, -92.18
511.14334834401654, -8.826317, -92.255821
541.5871378079476, -8.211521, -92.45739
573.8441648302393, -7.562036, -92.723549
608.0224261649427, -6.897215, -92.818703
644.236350872137, -6.224241, -93.051376
682.6071834272393, -5.510273, -93.375404
723.2633896483534, -4.759479, -93.676262
766.3410868007462, -3.973063, -94.021042
811.9844993184009, -3.150746, -94.403107
860.3464416684509, -2.266962, -94.840256
911.5888299750818, -1.322444, -95.395584
965.8832241158708, -0.295426, -96.078873
1023.4114021054538, 0.424977, -96.904022
1084.3659686896108, 0.87034, -97.931267
1148.9510001873098, 1.203898, -99.31031
1217.382727739662, 1.427857, -101.400879
1289.8902612533093, 1.603553, -104.336288
1366.7163564620073, 1.728545, -109.495926
1448.1182276745344, 1.812134, -119.627472
1534.3684089300132, 1.844946, 146.790573
1625.755666443795, 1.83726, 132.825882
1722.5859653987875, 1.828112, 123.640778
1825.1834943190443, 1.756186, 111.04966
1933.891750455232, 1.651472, 104.967773
2049.074689815848, 1.48771, 101.56456
2171.117945694505, 1.272368, 99.318985
2300.430119772919, 0.966208, 97.684456
2437.444150122222, 0.570926, 96.510818
2582.6187606826775, -0.0374, 95.597122
2736.4399970746717, -1.056081, 94.876831
2899.4228538828784, -2.023152, 94.363548
3072.112998861759, -2.907844, 93.797882
3255.08859983506, -3.751828, 93.432579
3448.96226040576, -4.543882, 93.076714
3654.383070957258, -5.286839, 92.692871
3872.0387818125573, -6.022224, 92.36248
4102.658105827195, -6.693814, 92.114143
4347.013158125026, -7.360563, 91.87085
4605.922041145108, -8.012947, 91.561005
4880.2515836544335, -8.642202, 91.367897
5170.920242896761, -9.249313, 91.20314
5478.901179593945, -9.844284, 90.95031
5805.225516094902, -10.425973, 90.810509
6150.985788580504, -11.012317, 90.646935
6517.339604882427, -11.572771, 90.39077
6905.513520162331, -12.131716, 90.201736
7316.8071434272, -12.692756, 90.069397
7752.597488629464, -13.235737, 89.899872
8214.34358491943, -13.772455, 89.652367
8703.591361485165, -14.309959, 89.485275
9221.978823334332, -14.830267, 89.29467
9771.241535346502, -15.369449, 89.10202
10353.218432956615, -15.880443, 88.918045
10969.857978923841, -16.395121, 88.7593
11623.224686798541, -16.917572, 88.528069
12315.506032928262, -17.433918, 88.268898
13049.019780144015, -17.934303, 88.099922
13826.221737646563, -18.464319, 88.038254
14649.71398307288, -18.950989, 87.746002
15522.25357427048, -19.446995, 87.456764
16446.761779946628, -19.944389, 87.258324
17426.333860096507, -20.444172, 86.975533
18464.249428955463, -20.94178, 86.702705
19563.98343517065, -21.43111, 86.394554
20729.2177959537, -21.920074, 86.143524
21963.85372416547, -22.399168, 85.82518
23272.024789604122, -22.880718, 85.415627
24658.110758226037, -23.369581, 85.059532
26126.752255633266, -23.846197, 84.687538
27682.866303920666, -24.313114, 84.397911
29331.662783900483, -24.788712, 83.886902
31078.66187782014, -25.244188, 83.46109
32929.71255097148, -25.716927, 82.999245
34891.012134067736, -26.174028, 82.531242
36969.12707195032, -26.617565, 82.04792
39171.014908092606, -27.06135, 81.45536
41504.047578504724, -27.49992, 80.946335
43976.036093027215, -27.922287, 80.318398
46595.25668664687, -28.347521, 79.700165
49370.478528390035, -28.769028, 79.023605
52310.993080562585, -29.16374, 78.318954
55426.645206631074, -29.57341, 77.46769
58727.86613189489, -29.952137, 76.656815
62225.708367302315, -30.327475, 75.906677
65931.88271333542, -30.690987, 75.004662
69858.79746785249, -31.028313, 74.132652
74019.59996915652, -31.362003, 73.273468
78428.22061337682, -31.678745, 72.275192
83099.41949353387, -31.978523, 71.138916
88048.83581643464, -32.259403, 70.028419
93293.04026284696, -32.537746, 68.987907
98849.59046625586, -32.77177, 67.67025
104737.08979594508, -32.994934, 66.446609
