Frequency,Amplitude,Phase
10, -19.722509, 176.343918
10.59560179277616, -18.472502, 175.965347
11.226677735108137, -17.574299, 175.775269
11.895340673703195, -17.161596, 175.448883
12.603829296797274, -17.23472, 175.242798
13.354515629298987, -17.198769, 174.891815
14.149912974345758, -17.055496, 174.562653
14.992684327860456, -17.182842, 174.216919
15.885651294280526, -17.115789, 173.874908
16.831803533309568, -17.182072, 173.349792
17.834308769319094, -17.252922, 172.993088
18.896523396912098, -17.224478, 172.529099
20.022003718155844, -17.062561, 172.058167
21.2145178491063, -17.054049, 171.528458
22.47805833548725, -17.018894, 170.989166
23.81685551976158, -16.839388, 170.453339
25.23539170434766, -16.887291, 169.872849
26.738416158399467, -16.881979, 169.18692
28.330961018393243, -16.975052, 168.517502
30.01835813575589, -16.929707, 167.809814
31.80625692794119, -16.800758, 167.054428
33.700643292719285, -16.929317, 166.217331
35.707859649004625, -17.048656, 165.336899
37.83462617131929, -17.072727, 164.433807
40.08806328898464, -17.235596, 163.440414
42.47571552536898, -17.294048, 162.318481
45.005576757004974, -17.307953, 161.128143
47.68611697714469, -17.282444, 159.990143
50.526310653356795, -17.483335, 158.436951
53.53566677410724, -17.598904, 157.189896
56.72426068491978, -17.729475, 155.54895
60.10276782070382, -17.875185, 153.933578
63.68249944718586, -17.993593, 152.013214
67.47544053110693, -18.147211, 149.962845
71.49428986597577, -18.399527, 147.737045
75.75250258771912, -18.79884, 145.355087
80.26433522257175, -19.317072, 142.651581
85.04489341802677, -19.820211, 139.686691
90.11018251665018, -20.38575, 136.633728
95.47716114208056, -21.052084, 133.080399
101.1637979766207, -22.098341, 129.158035
107.18913192051286, -23.084194, 124.807678
113.57333583431051, -24.607666, 120.068649
120.33778407775905, -26.301308, 114.887627
127.50512407130128, -28.673435, 109.292061
135.09935211980277, -31.872841, 103.389328
143.14589375234786, -35.87236, 97.100662
151.6716888470924, -43.144188, 91.132553
160.70528182616385, -61.448215, -113.805664
170.27691722259013, -41.013523, -105.927673
180.41864093920717, -34.968445, -112.086975
191.16440753857037, -31.199585, -118.540176
202.55019392306664, -28.28828, -124.726303
214.6141197858406, -26.103945, -130.505524
227.39657523579274, -24.41798, -135.884918
240.9403560239527, -22.947817, -140.914474
255.29080682395167, -21.795582, -145.512039
270.4959730463137, -21.049282, -149.683075
286.606761694825, -20.44878, -153.607742
303.67711180354604, -19.908123, -157.211563
321.76417502507354, -19.320198, -160.559692
340.92850697468145, -18.848022, -163.77272
361.23426997094305, -18.652435, -166.737885
382.7494478516315, -18.378851, -169.595688
405.54607358408276, -18.239655, -172.332825
429.7004704320844, -18.1362, -174.919205
455.29350748669475, -17.965084, -177.426147
482.41087041653736, -17.815626, -179.844574
511.14334834401654, -17.64563, 177.810822
541.5871378079476, -17.658579, 175.504471
573.8441648302393, -17.588104, 173.178833
608.0224261649427, -17.564304, 171.001282
644.236350872137, -17.618868, 168.856491
682.6071834272393, -17.462349, 166.681381
723.2633896483534, -17.534456, 164.522842
766.3410868007462, -17.564457, 162.440292
811.9844993184009, -17.809464, 160.402649
860.3464416684509, -17.837992, 158.304199
911.5888299750818, -17.794712, 156.324417
965.8832241158708, -18.140078, 154.273865
1023.4114021054538, -18.281096, 152.36586
1084.3659686896108, -18.341854, 150.443848
1148.9510001873098, -18.396761, 148.535309
1217.382727739662, -18.604658, 146.624847
1289.8902612533093, -18.921656, 144.917358
1366.7163564620073, -19.130531, 143.102478
1448.1182276745344, -19.516043, 141.425812
1534.3684089300132, -19.716415, 139.833984
1625.755666443795, -20.025486, 138.237778
1722.5859653987875, -20.268887, 136.689362
1825.1834943190443, -20.616451, 135.271698
1933.891750455232, -20.937199, 133.856934
2049.074689815848, -21.411343, 132.630676
2171.117945694505, -21.558533, 131.351685
2300.430119772919, -21.692741, 130.049988
2437.444150122222, -21.995432, 128.883179
2582.6187606826775, -22.556614, 128.004868
2736.4399970746717, -22.96258, 127.127472
2899.4228538828784, -23.402479, 126.331429
3072.112998861759, -23.696934, 125.488594
3255.08859983506, -24.113796, 124.861298
3448.96226040576, -24.356674, 124.100533
3654.383070957258, -25.064186, 123.932434
3872.0387818125573, -25.376823, 123.450661
4102.658105827195, -25.685308, 122.961304
4347.013158125026, -26.047882, 122.505249
4605.922041145108, -26.525036, 122.427834
4880.2515836544335, -26.988354, 122.421211
5170.920242896761, -27.316935, 122.242928
5478.901179593945, -27.889027, 122.557243
5805.225516094902, -28.483889, 123.172997
6150.985788580504, -29.028128, 123.702988
6517.339604882427, -29.371851, 123.823181
6905.513520162331, -29.556202, 123.62986
7316.8071434272, -29.952415, 124.011604
7752.597488629464, -30.289219, 124.398384
8214.34358491943, -30.783007, 125.184952
8703.591361485165, -31.182728, 125.743935
9221.978823334332, -31.540417, 126.364838
9771.241535346502, -31.966728, 127.285629
10353.218432956615, -32.527321, 128.781097
10969.857978923841, -32.835381, 129.537643
11623.224686798541, -33.085732, 130.012344
12315.506032928262, -33.439636, 131.051468
13049.019780144015, -33.729664, 131.865585
13826.221737646563, -34.063744, 132.869171
14649.71398307288, -34.379906, 133.851929
15522.25357427048, -34.603355, 134.663589
16446.761779946628, -34.863174, 135.661545
17426.333860096507, -35.086334, 136.266205
18464.249428955463, -35.444244, 137.784332
19563.98343517065, -35.605171, 138.112457
20729.2177959537, -35.811726, 139.201874
21963.85372416547, -36.01936, 139.675568
23272.024789604122, -36.273655, 140.848083
24658.110758226037, -36.419266, 141.26445
26126.752255633266, -36.634701, 142.077911
27682.866303920666, -36.832672, 143.058243
29331.662783900483, -37.085403, 144.370544
31078.66187782014, -37.220242, 144.524948
32929.71255097148, -37.459175, 145.997864
