Frequency,Amplitude,Phase
10, -48.302532, 176.187332
10.59560179277616, -47.307339, 175.964569
11.226677735108137, -46.384834, 175.883667
11.895340673703195, -45.259022, 175.523972
12.603829296797274, -44.235237, 175.326736
13.354515629298987, -43.137035, 174.958649
14.149912974345758, -42.068703, 174.681793
14.992684327860456, -41.078651, 174.374542
15.885651294280526, -40.145912, 174.079849
16.831803533309568, -39.010857, 173.691284
17.834308769319094, -38.064453, 173.341888
18.896523396912098, -37.050674, 173.001328
20.022003718155844, -36.003296, 172.564514
21.2145178491063, -35.017971, 172.109833
22.47805833548725, -33.988548, 171.644775
23.81685551976158, -32.928436, 171.140869
25.23539170434766, -31.921562, 170.59938
26.738416158399467, -30.889502, 170.043747
28.330961018393243, -29.912163, 169.443756
30.01835813575589, -28.848707, 168.799713
31.80625692794119, -27.846891, 168.090149
33.700643292719285, -26.833448, 167.369843
35.707859649004625, -25.756924, 166.573135
37.83462617131929, -24.740093, 165.737488
40.08806328898464, -23.725988, 164.837067
42.47571552536898, -22.657597, 163.844131
45.005576757004974, -21.601526, 162.763855
47.68611697714469, -20.560886, 161.649536
50.526310653356795, -19.527889, 160.450363
53.53566677410724, -18.47143, 159.121368
56.72426068491978, -17.425394, 157.728027
60.10276782070382, -16.363176, 156.158066
63.68249944718586, -15.287868, 154.438614
67.47544053110693, -14.207508, 152.55217
71.49428986597577, -13.144424, 150.535095
75.75250258771912, -12.056165, 148.285995
80.26433522257175, -10.996807, 145.84169
85.04489341802677, -9.889379, 143.108444
90.11018251665018, -8.824939, 140.140549
95.47716114208056, -7.7536, 136.854263
101.1637979766207, -6.684704, 133.14595
107.18913192051286, -5.632835, 129.04686
113.57333583431051, -4.612342, 124.506035
120.33778407775905, -3.639459, 119.539368
127.50512407130128, -2.725604, 114.143738
135.09935211980277, -1.884945, 108.301735
143.14589375234786, -1.115843, 102.079628
151.6716888470924, -0.46013, 95.651421
160.70528182616385, 0.017609, 89.148117
170.27691722259013, 0.278807, 82.455688
180.41864093920717, 0.427433, 76.03392
191.16440753857037, 0.51685, 69.915871
202.55019392306664, 0.569965, 64.215134
214.6141197858406, 0.60179, 58.910423
227.39657523579274, 0.614522, 54.06797
