Frequency,Amplitude,Phase
10, -87.717758, -4.45188
10.59560179277616, -86.569595, -0.412007
11.226677735108137, -85.062866, -3.540931
11.895340673703195, -88.116493, 14.302003
12.603829296797274, -88.574173, -1.383769
13.354515629298987, -90.086525, -18.05541
14.149912974345758, -96.144852, 16.204712
14.992684327860456, -99.681366, 31.576027
15.885651294280526, -102.263306, 131.229279
16.831803533309568, -93.53334, -166.491196
17.834308769319094, -90.433083, 151.881836
18.896523396912098, -88.328827, -179.558426
20.022003718155844, -84.788834, -178.292694
21.2145178491063, -80.913246, -177.799026
22.47805833548725, -79.023094, 177.454208
23.81685551976158, -77.404175, -179.665558
25.23539170434766, -75.394928, -178.581192
26.738416158399467, -74.564964, -179.71817
28.330961018393243, -72.920624, 179.82515
30.01835813575589, -71.285561, -179.831635
31.80625692794119, -70.027473, -179.701187
33.700643292719285, -68.786514, 179.972794
35.707859649004625, -67.390099, 178.939819
37.83462617131929, -66.326645, 179.476822
40.08806328898464, -65.082977, 179.855072
42.47571552536898, -63.978268, 179.663437
45.005576757004974, -62.908138, 179.554932
47.68611697714469, -61.835007, -179.341263
50.526310653356795, -60.888981, 178.885727
53.53566677410724, -59.773148, 179.710312
56.72426068491978, -58.729282, 179.784592
60.10276782070382, -57.619301, 179.3853
63.68249944718586, -56.488605, 179.155701
67.47544053110693, -55.412086, 178.909683
71.49428986597577, -54.311821, 179.221436
75.75250258771912, -53.263237, 178.87265
80.26433522257175, -52.228584, 179.096329
85.04489341802677, -51.124233, 179.232712
90.11018251665018, -50.066532, 179.358582
95.47716114208056, -49.05632, 179.06337
101.1637979766207, -48.011444, 179.085861
107.18913192051286, -46.946522, 179.223526
113.57333583431051, -45.909904, 179.13678
120.33778407775905, -44.870552, 179.228226
127.50512407130128, -43.853397, 179.223221
135.09935211980277, -42.807888, 179.049164
143.14589375234786, -41.779591, 179.180466
151.6716888470924, -40.755302, 179.130783
160.70528182616385, -39.730953, 179.090271
170.27691722259013, -38.697506, 179.038879
180.41864093920717, -37.682682, 178.935547
191.16440753857037, -36.66114, 178.926514
202.55019392306664, -35.640724, 178.900345
214.6141197858406, -34.604053, 178.873383
227.39657523579274, -33.58429, 178.840027
240.9403560239527, -32.548157, 178.755859
255.29080682395167, -31.520245, 178.727997
270.4959730463137, -30.478058, 178.620163
286.606761694825, -29.440804, 178.576874
303.67711180354604, -28.391087, 178.494049
321.76417502507354, -27.344458, 178.428391
340.92850697468145, -26.289715, 178.339569
361.23426997094305, -25.233566, 178.235092
382.7494478516315, -24.168089, 178.14006
405.54607358408276, -23.093212, 178.045456
429.7004704320844, -22.015333, 177.932907
455.29350748669475, -20.923557, 177.803391
482.41087041653736, -19.823372, 177.665405
511.14334834401654, -18.709332, 177.509399
541.5871378079476, -17.581993, 177.347565
573.8441648302393, -16.437235, 177.159195
608.0224261649427, -15.270041, 176.954407
644.236350872137, -14.082432, 176.735214
682.6071834272393, -12.867867, 176.467758
723.2633896483534, -11.62245, 176.171066
766.3410868007462, -10.339739, 175.835114
811.9844993184009, -9.012835, 175.448456
860.3464416684509, -7.62957, 174.988556
911.5888299750818, -6.183422, 174.449921
965.8832241158708, -4.648616, 173.779388
1023.4114021054538, -3.013278, 172.963638
1084.3659686896108, -1.241461, 171.894714
1148.9510001873098, 0.364725, 170.45816
1217.382727739662, 1.066756, 168.483353
1289.8902612533093, 1.457156, 165.441483
1366.7163564620073, 1.676122, 160.353821
1448.1182276745344, 1.802374, 150.135788
1534.3684089300132, 1.848192, 55.599087
1625.755666443795, 1.84118, 42.538433
1722.5859653987875, 1.829321, 33.310944
1825.1834943190443, 1.780735, 20.764799
1933.891750455232, 1.720479, 14.767559
2049.074689815848, 1.643634, 11.311295
2171.117945694505, 1.558241, 9.090179
2300.430119772919, 1.473811, 7.530912
2437.444150122222, 1.384662, 6.385182
2582.6187606826775, 1.294668, 5.490653
2736.4399970746717, 1.207236, 4.772458
2899.4228538828784, 1.120182, 4.171934
3072.112998861759, 1.036779, 3.681971
3255.08859983506, 0.957463, 3.254565
3448.96226040576, 0.881535, 2.880687
3654.383070957258, 0.81237, 2.549361
3872.0387818125573, 0.742067, 2.254482
4102.658105827195, 0.676795, 1.990618
4347.013158125026, 0.619019, 1.745373
4605.922041145108, 0.563593, 1.515858
4880.2515836544335, 0.511748, 1.305113
5170.920242896761, 0.464022, 1.107816
5478.901179593945, 0.422541, 0.921734
5805.225516094902, 0.379828, 0.747714
6150.985788580504, 0.34193, 0.571332
6517.339604882427, 0.30821, 0.413691
6905.513520162331, 0.276759, 0.256993
7316.8071434272, 0.248593, 0.090585
7752.597488629464, 0.222243, -0.058893
8214.34358491943, 0.198527, -0.202805
8703.591361485165, 0.174783, -0.343299
9221.978823334332, 0.154763, -0.489158
9771.241535346502, 0.13497, -0.64492
10353.218432956615, 0.119384, -0.778286
10969.857978923841, 0.103762, -0.926256
11623.224686798541, 0.089331, -1.072258
12315.506032928262, 0.075076, -1.216798
13049.019780144015, 0.065244, -1.356913
13826.221737646563, 0.052521, -1.521548
14649.71398307288, 0.043115, -1.670514
15522.25357427048, 0.032213, -1.83228
16446.761779946628, 0.023315, -1.992455
17426.333860096507, 0.014797, -2.156406
18464.249428955463, 0.0072, -2.326939
19563.98343517065, -0.000576, -2.502609
20729.2177959537, -0.006973, -2.685555
21963.85372416547, -0.013495, -2.871227
23272.024789604122, -0.019565, -3.06767
24658.110758226037, -0.025387, -3.264684
26126.752255633266, -0.030835, -3.475605
27682.866303920666, -0.035922, -3.700863
29331.662783900483, -0.040513, -3.932099
31078.66187782014, -0.044352, -4.175773
32929.71255097148, -0.048857, -4.431966
34891.012134067736, -0.052699, -4.700051
36969.12707195032, -0.056407, -4.982828
39171.014908092606, -0.059853, -5.278053
41504.047578504724, -0.063516, -5.592904
43976.036093027215, -0.066876, -5.927525
46595.25668664687, -0.069564, -6.277558
49370.478528390035, -0.073246, -6.646314
52310.993080562585, -0.07633, -7.036052
55426.645206631074, -0.080042, -7.459987
58727.86613189489, -0.082485, -7.895617
