Frequency,Amplitude,Phase
10, 0.004745, -3.617839
10.59560179277616, 0.007088, -3.827573
11.226677735108137, 0.0105, -4.023808
11.895340673703195, 0.011419, -4.288833
12.603829296797274, 0.014037, -4.541007
13.354515629298987, 0.012584, -4.838356
14.149912974345758, 0.014574, -5.127334
14.992684327860456, 0.018502, -5.432989
15.885651294280526, 0.02586, -5.731024
16.831803533309568, 0.024502, -6.10526
17.834308769319094, 0.031206, -6.464231
18.896523396912098, 0.036294, -6.853419
20.022003718155844, 0.038839, -7.277969
21.2145178491063, 0.045193, -7.717813
22.47805833548725, 0.049944, -8.190572
23.81685551976158, 0.056429, -8.690234
25.23539170434766, 0.063543, -9.223713
26.738416158399467, 0.071786, -9.79249
28.330961018393243, 0.080483, -10.399134
30.01835813575589, 0.090815, -11.042968
31.80625692794119, 0.100702, -11.733445
33.700643292719285, 0.111708, -12.467199
35.707859649004625, 0.128714, -13.263435
37.83462617131929, 0.142229, -14.097838
40.08806328898464, 0.157111, -14.997852
42.47571552536898, 0.177876, -15.984036
45.005576757004974, 0.199221, -17.055132
47.68611697714469, 0.220113, -18.183561
50.526310653356795, 0.241951, -19.365927
53.53566677410724, 0.267207, -20.714014
56.72426068491978, 0.295494, -22.097315
60.10276782070382, 0.323675, -23.673655
63.68249944718586, 0.354584, -25.387348
67.47544053110693, 0.381542, -27.27354
71.49428986597577, 0.418152, -29.289675
75.75250258771912, 0.449113, -31.535715
80.26433522257175, 0.481284, -33.978756
85.04489341802677, 0.512834, -36.711956
90.11018251665018, 0.540513, -39.678253
95.47716114208056, 0.565806, -42.957714
101.1637979766207, 0.591303, -46.661018
107.18913192051286, 0.608984, -50.756378
113.57333583431051, 0.614401, -55.293774
120.33778407775905, 0.602121, -60.256378
127.50512407130128, 0.570786, -65.648567
135.09935211980277, 0.503148, -71.478958
143.14589375234786, 0.393914, -77.692955
151.6716888470924, 0.218013, -84.114288
160.70528182616385, -0.064878, -90.615211
170.27691722259013, -0.607763, -97.289505
180.41864093920717, -1.297011, -103.714607
191.16440753857037, -2.082767, -109.823906
202.55019392306664, -2.954258, -115.506958
214.6141197858406, -3.889279, -120.824684
227.39657523579274, -4.862789, -125.652023
240.9403560239527, -5.901025, -130.084976
255.29080682395167, -6.950364, -134.000702
270.4959730463137, -8.013074, -137.6147
286.606761694825, -9.087225, -140.878479
303.67711180354604, -10.175379, -143.772629
321.76417502507354, -11.249619, -146.379028
340.92850697468145, -12.334667, -148.800919
361.23426997094305, -13.407459, -150.937225
382.7494478516315, -14.479214, -152.953751
405.54607358408276, -15.552154, -154.734131
429.7004704320844, -16.609409, -156.412003
455.29350748669475, -17.673584, -157.924515
482.41087041653736, -18.726517, -159.333496
511.14334834401654, -19.780624, -160.605942
541.5871378079476, -20.823341, -161.831238
573.8441648302393, -21.863985, -162.932587
608.0224261649427, -22.908831, -163.946152
644.236350872137, -23.945024, -164.935303
682.6071834272393, -24.976675, -165.821304
723.2633896483534, -26.002836, -166.661545
766.3410868007462, -27.034386, -167.436066
811.9844993184009, -28.066864, -168.171066
860.3464416684509, -29.088703, -168.864777
911.5888299750818, -30.108812, -169.535873
965.8832241158708, -31.142216, -170.168503
1023.4114021054538, -32.155167, -170.734787
1084.3659686896108, -33.177742, -171.320374
1148.9510001873098, -34.192928, -171.803757
