Frequency,Amplitude,Phase
10, -0.00565, -0.036637
10.59560179277616, -0.045261, -0.009351
11.226677735108137, -0.040042, -0.06615
11.895340673703195, -0.0033, -0.043078
12.603829296797274, -0.093591, -0.088383
13.354515629298987, -0.483842, -0.027683
14.149912974345758, -0.109581, -0.022922
14.992684327860456, -0.003552, -0.056199
15.885651294280526, -0.003326, -0.057514
16.831803533309568, -0.003219, -0.062865
17.834308769319094, -0.003032, -0.065761
18.896523396912098, -0.003, -0.070091
20.022003718155844, -0.003018, -0.075153
21.2145178491063, -0.002921, -0.079271
22.47805833548725, -0.002729, -0.084162
23.81685551976158, -0.002225, -0.088676
25.23539170434766, -0.002086, -0.094516
26.738416158399467, -0.001978, -0.100185
28.330961018393243, -0.001935, -0.106039
30.01835813575589, -0.001576, -0.112343
31.80625692794119, -0.001249, -0.119344
33.700643292719285, -0.001022, -0.126167
35.707859649004625, -0.000801, -0.134131
37.83462617131929, -0.000753, -0.140743
40.08806328898464, -0.000358, -0.148734
42.47571552536898, -0.000034, -0.156275
45.005576757004974, 0.000446, -0.166015
47.68611697714469, 0.001193, -0.175263
50.526310653356795, 0.002072, -0.188185
53.53566677410724, 0.002783, -0.198758
56.72426068491978, 0.00375, -0.209769
60.10276782070382, 0.004323, -0.223771
63.68249944718586, 0.005313, -0.236461
67.47544053110693, 0.006061, -0.250313
71.49428986597577, 0.007632, -0.264697
75.75250258771912, 0.009169, -0.280762
80.26433522257175, 0.01063, -0.298151
85.04489341802677, 0.012954, -0.317672
90.11018251665018, 0.014744, -0.337645
95.47716114208056, 0.017993, -0.355161
101.1637979766207, 0.020509, -0.380269
107.18913192051286, 0.02446, -0.404286
113.57333583431051, 0.027916, -0.429305
120.33778407775905, 0.031344, -0.456953
127.50512407130128, 0.037017, -0.483263
135.09935211980277, 0.042688, -0.513521
143.14589375234786, 0.047656, -0.548901
151.6716888470924, 0.053621, -0.572807
160.70528182616385, 0.060141, -0.610878
170.27691722259013, 0.068499, -0.653909
180.41864093920717, 0.072954, -0.695805
191.16440753857037, 0.081808, -0.730038
202.55019392306664, 0.092685, -0.778758
214.6141197858406, 0.104783, -0.829164
227.39657523579274, 0.113163, -0.884052
240.9403560239527, 0.125345, -0.930504
255.29080682395167, 0.143589, -0.975843
270.4959730463137, 0.16038, -1.045203
286.606761694825, 0.181232, -1.113727
303.67711180354604, 0.203394, -1.195413
321.76417502507354, 0.216575, -1.285141
340.92850697468145, 0.238479, -1.350274
361.23426997094305, 0.270089, -1.429135
382.7494478516315, 0.3001, -1.533275
405.54607358408276, 0.334184, -1.63138
429.7004704320844, 0.371648, -1.743447
455.29350748669475, 0.413364, -1.868863
482.41087041653736, 0.457755, -2.007307
511.14334834401654, 0.506215, -2.17814
541.5871378079476, 0.539468, -2.344217
573.8441648302393, 0.591993, -2.501273
608.0224261649427, 0.654144, -2.69645
644.236350872137, 0.718899, -2.913677
682.6071834272393, 0.786503, -3.163381
723.2633896483534, 0.857799, -3.449355
766.3410868007462, 0.934974, -3.784765
811.9844993184009, 1.014383, -4.164886
860.3464416684509, 1.098067, -4.617406
911.5888299750818, 1.183233, -5.153296
965.8832241158708, 1.270919, -5.813495
1023.4114021054538, 1.359317, -6.623453
1084.3659686896108, 1.450235, -7.682075
1148.9510001873098, 1.539179, -9.104622
1217.382727739662, 1.620728, -11.094276
1289.8902612533093, 1.700411, -14.115867
1366.7163564620073, 1.764928, -19.185297
1448.1182276745344, 1.822116, -29.43899
1534.3684089300132, 1.8374, -123.094917
1625.755666443795, 1.829023, -136.938843
1722.5859653987875, 1.81134, -146.12822
1825.1834943190443, 1.712828, -158.705154
1933.891750455232, 1.527801, -164.703979
2049.074689815848, 1.195595, -168.17041
2171.117945694505, 0.601344, -170.386826
2300.430119772919, -0.744871, -171.949905
2437.444150122222, -2.554739, -173.085587
2582.6187606826775, -4.222637, -173.971771
2736.4399970746717, -5.77556, -174.689468
2899.4228538828784, -7.244397, -175.288971
3072.112998861759, -8.642227, -175.767563
3255.08859983506, -9.979906, -176.199707
3448.96226040576, -11.272211, -176.577438
3654.383070957258, -12.526542, -176.922958
3872.0387818125573, -13.746559, -177.215561
4102.658105827195, -14.939513, -177.497894
4347.013158125026, -16.107216, -177.744904
4605.922041145108, -17.256432, -177.992096
4880.2515836544335, -18.386303, -178.220261
5170.920242896761, -19.503819, -178.445068
5478.901179593945, -20.605007, -178.669083
5805.225516094902, -21.696413, -178.89238
6150.985788580504, -22.776009, -179.102966
6517.339604882427, -23.852692, -179.314316
6905.513520162331, -24.920185, -179.537018
7316.8071434272, -25.980633, -179.780731
7752.597488629464, -27.035772, -179.98616
8214.34358491943, -28.096668, 179.757355
8703.591361485165, -29.144066, 179.454407
9221.978823334332, -30.200031, 179.193329
9771.241535346502, -31.234388, 178.896225
10353.218432956615, -32.291687, 178.494812
10969.857978923841, -33.323971, 178.143158
11623.224686798541, -34.380657, 177.85817
12315.506032928262, -35.434208, 177.369736
13049.019780144015, -36.474277, 176.911545
13826.221737646563, -37.527309, 176.41185
14649.71398307288, -38.592152, 175.825775
15522.25357427048, -39.652283, 175.16745
16446.761779946628, -40.704391, 174.385605
17426.333860096507, -41.822147, 173.480072
18464.249428955463, -42.912754, 172.747009
19563.98343517065, -44.124397, 171.468109
20729.2177959537, -45.203598, 170.070984
21963.85372416547, -46.38446, 168.057571
23272.024789604122, -47.639675, 166.762192
24658.110758226037, -48.949112, 165.364807
26126.752255633266, -50.240444, 163.102646
27682.866303920666, -51.46991, 160.686844
29331.662783900483, -52.817116, 157.060898
31078.66187782014, -54.641991, 153.882843
32929.71255097148, -56.296368, 152.115585
34891.012134067736, -57.727493, 147.238358
36969.12707195032, -59.251732, 140.76088
39171.014908092606, -60.504234, 128.568695
41504.047578504724, -61.870972, 116.247047
43976.036093027215, -62.627419, 102.48658
46595.25668664687, -63.453987, 94.068871
49370.478528390035, -63.745026, 78.306732
52310.993080562585, -63.638577, 68.604729
55426.645206631074, -63.48777, 55.317936
58727.86613189489, -62.560116, 46.080654
62225.708367302315, -61.774715, 36.953281
65931.88271333542, -61.223167, 33.73354
69858.79746785249, -60.371113, 28.515644
74019.59996915652, -60.002331, 22.227348
78428.22061337682, -59.440598, 18.127254
83099.41949353387, -58.99176, 15.200665
88048.83581643464, -58.39426, 11.862837
93293.04026284696, -57.805336, 8.158633
98849.59046625586, -57.683315, 7.164516
104737.08979594508, -57.312721, 3.855273
110975.2496412072, -56.971607, 1.458833
117584.95540521582, -56.630409, -1.076704
124588.33642950082, -56.235165, -3.692714
132008.84008314196, -55.876865, -5.618691
139871.31026472387, -55.438248, -8.230808
148202.070579886, -55.227272, -11.490348
157029.01247293776, -54.648148, -16.192429
166381.6886076131, -54.292698, -22.721498
176291.4118095948, -53.926308, -33.463848
186791.35990207846, -55.318851, -58.606647
197916.68678535573, -65.118393, -105.664757
209704.6401323235, -64.760048, 60.483997
222194.6860939524, -57.948631, 30.553854
235428.64143224203, -56.222244, 15.788857
249450.81352303165, -54.530342, 10.251417
264308.1486974108, -53.084045, 3.542095
280050.3894183631, -51.948608, -3.286127
296730.24081888725, -51.055988, -9.18614
314403.54715915, -50.25872, -14.400851
333129.4787934677, -49.598583, -18.93557
352970.73027306504, -48.849274, -23.254854
373993.73024788016, -48.136688, -27.969803
396268.86387014785, -47.445084, -32.329445
419870.70844439144, -46.732784, -36.645172
444878.28311275854, -45.99268, -41.279736
471375.3134116729, -45.275322, -45.566227
499450.511585514, -44.550747, -49.878891
529197.8735958447, -43.789085, -54.585484
560716.9938205458, -43.074551, -58.934849
594113.3984965039, -42.287212, -64.11219
629498.8990221887, -41.515766, -68.75692
666991.9663030129, -40.764114, -73.901184
706718.1273927492, -39.977444, -79.167175
